Room_Name,UE_RNTI,RSRP_Serving_Cell,RSRQ_Serving_Cell,UE_Power_Headroom,Pusch_SNR,Total_BLER,USR_UE_Power_Headroom,Estimated UE power,SNR,timing offset,dl cqi,ul cqi,spatial power 1,spatial power 2,channel est ofdm 1,channel est ofdm 2,UCI low,UCI high
0,UE_rnti28434,-83,-4,23,22,40,25,8,22,6,15,168,30,0,2228274,786453,336,318
0,UE_rnti28434,-84,-4,31,20,40,30,8,19,14,15,173,36,0,196605,-1703962,2336,2460
0,UE_rnti28434,-83,-4,27,20,41,22,8,22,24,15,167,37,0,458728,-1703980,352,200
0,UE_rnti57711,-91,-5,23,23,50,22,8,23,24,13,172,36,0,2359318,1245191,588,589
0,UE_rnti57711,-85,-5,24,19,41,25,8,18,24,15,168,32,0,2686996,1179653,588,589
0,UE_rnti27607,-85,-4,21,17,34,14,8,19,24,15,178,40,0,4915270,2031665,5869,5754
0,UE_rnti27607,-79,-4,14,24,40,30,8,26,24,15,165,30,0,2687017,-458751,632,614
0,UE_rnti27607,-84,-4,23,17,42,23,8,17,27,15,147,32,0,1376246,-1310752,79,58
0,UE_rnti27607,-87,-4,24,20,44,24,8,20,8,15,160,34,0,5439516,1966093,1003,897
0,UE_rnti27607,-85,-4,23,22,42,23,8,23,17,14,170,36,0,3145776,-65513,230,221
0,UE_rnti27607,-82,-4,28,16,40,23,8,16,12,15,170,36,0,6357000,3342331,18,84
0,UE_rnti12342,-84,-4,31,17,58,28,8,17,12,15,142,29,0,2752520,-65546,18,84
0,UE_rnti12342,-84,-4,28,22,52,28,8,20,12,15,174,19,0,2424839,-524301,18,84
0,UE_rnti12342,-84,-4,30,20,49,30,8,19,22,15,153,19,0,2883591,-393237,18,84
0,UE_rnti12342,-82,-4,26,24,54,24,8,21,7,15,168,19,0,2555911,131052,225,217
0,UE_rnti12342,-85,-4,13,23,58,21,8,23,16,15,164,30,0,2031617,131059,335,338
0,UE_rnti12342,-87,-4,18,22,50,26,8,22,15,13,170,30,0,2228234,-65545,96,65
0,UE_rnti12342,-87,-4,26,18,56,26,8,18,13,15,201,19,0,3014657,-589845,185,241
0,UE_rnti12342,-87,-4,26,36,58,26,8,36,13,15,201,19,0,3080207,-262166,185,241
0,UE_rnti12342,-87,-4,26,36,58,26,8,36,13,15,201,19,0,3276813,-196636,185,241
0,UE_rnti12342,-87,-4,26,36,58,26,8,36,13,15,201,19,0,1769473,-16,185,241
0,UE_rnti12342,-87,-4,26,36,58,26,8,36,13,15,201,19,0,3276795,-196629,185,241
0,UE_rnti12342,-87,-4,26,36,58,26,8,36,13,15,201,19,0,2883597,-65550,185,241
0,UE_rnti12342,-87,-4,26,36,58,26,8,36,13,15,201,19,0,3145744,131054,185,241
0,UE_rnti12342,-87,-4,26,36,58,26,8,36,13,15,201,19,0,1966096,262122,185,241
0,UE_rnti12342,-87,-4,26,36,58,26,8,36,13,15,201,19,0,2162705,262131,185,241
0,UE_rnti15014,-97,-4,24,19,72,17,8,19,0,15,140,34,0,2490386,-131087,185,241
0,UE_rnti15014,-97,-4,27,17,68,27,8,31,0,15,168,34,0,3014667,-196619,185,241
0,UE_rnti15014,-97,-4,27,20,78,27,8,20,0,15,128,34,0,2359315,786414,185,241
0,UE_rnti50348,-87,-4,26,36,58,26,8,36,13,15,201,19,0,2162705,262131,556,391
0,UE_rnti15014,-97,-4,27,20,83,27,8,20,0,15,128,34,0,2818054,-65552,185,241
0,UE_rnti25500,-95,-4,18,17,58,19,8,18,13,15,161,32,0,2883586,-458766,556,391
0,UE_rnti25500,-96,-4,23,19,74,23,8,19,13,15,114,19,0,2359308,-65546,556,391
0,UE_rnti25500,-96,-4,23,19,74,23,8,19,13,15,114,19,0,2228227,-458771,556,391
0,UE_rnti15166,-97,-4,27,20,83,27,8,20,0,15,128,34,0,2162701,-327696,550,357
0,UE_rnti15537,-97,-4,17,17,80,19,8,17,0,15,160,34,0,3407871,458728,550,357
0,UE_rnti43004,-96,-4,22,19,27,23,8,19,13,15,116,19,0,1900557,-327690,550,357
0,UE_rnti21981,-83,-4,8,13,23,0,8,14,-7,15,172,32,0,1376314,-720876,209,286
0,UE_rnti21981,-88,-4,7,22,27,7,8,22,1,13,115,19,0,3276813,786411,209,286
0,UE_rnti43975,-93,-5,23,19,70,20,8,19,1,15,166,35,0,2883581,-589845,209,286
0,UE_rnti43975,-92,-4,20,27,79,20,8,27,-15,15,114,19,0,2818065,-655370,934,1024
0,UE_rnti43975,-92,-4,20,23,82,20,8,23,-15,15,114,19,0,2490377,196590,934,1024
0,UE_rnti43975,-92,-4,20,23,82,20,8,23,-15,15,114,19,0,2949132,655349,934,1024
0,UE_rnti45709,-97,-4,6,18,88,23,8,18,0,15,162,35,0,2293776,-131085,61,190
0,UE_rnti45709,-88,-5,14,21,78,14,8,21,0,15,183,35,0,2228231,196596,603,579
0,UE_rnti45709,-84,-4,14,17,75,14,8,17,-10,15,114,35,0,2686982,-393235,129,154
0,UE_rnti4883,-92,-4,25,20,71,20,8,20,-15,15,128,19,0,2424851,1507325,5515,5515
0,UE_rnti4883,-92,-4,25,29,96,20,8,29,-15,1,128,19,0,2293777,1048579,5515,5515
